Listing Title,Exact Price LKR,Specification Log,Manufacture Year
Honda Insight Car,7300000,"Ja-Ela | 168,000 km",2011
Honda Civic Car,2100000,Warakapola,1989
Toyota Corolla 121 LXI Car,6850000,"Mirigama | 163,750 km",2006
Honda Insight Car,6875000,"Boralesgamuwa | 145,000 km",2009
Mercedes-Benz C230 Car,9575000,"Gampaha | 109,651 km",2006
Toyota Aqua Car,8200000,"Kolonnawa | 120,000 km",2014
Toyota Carina Car,3000000,"Embilipitiya | 160,000 km",2004
Perodua Viva Elite Car,3690000,"Piliyandala | 180,000 km",2010
Suzuki Wagon R Custom Z Car,8795000,"Horana | 9,000 km",2025
Perodua Viva Elite Car,4375000,"Colombo | 93,000 km",2011
Mitsubishi Toppo Car,4075000,"Gampaha | 104,439 km",2010
Nissan HB11 Car,990000,"Mirigama | 68,522 km",1986
Toyota Corolla 121 Car,5400000,"Dankotuwa | 230,000 km",2001
Suzuki Alto Car,4150000,"Embilipitiya | 113,000 km",2015
Mitsubishi Lancer Box Car,1000000,"Kandy | 123,456 km",1981
Nissan A33 Car,4035000,"Kuliyapitiya | 130,000 km",2000
Mercedes-Benz C200 AMG PREMIUM PLUS Car,22500000,"Colombo | 42,000 km",2018
Suzuki Wagon R FZ Car,6785000,"Kesbewa | 95,000 km",2017
Toyota Aqua S Grade Limited Car,7125000,"Ja-Ela | 170,000 km",2012
Suzuki Maruti Car,2190000,Bandaragama | 1 km,2007
Audi A3 Signature Edition Car,18550000,"Colombo | 15,000 km",2024
Toyota Duet Car,3250000,Gampaha | 230 km,2000
Nissan Dayz Highway Star Propilot Car,8285000,"Ragama | 38,000 km",2024
Toyota Dx Wagon Car,985000,"Gampaha | 125,431 km",1985
Suzuki Wagon R Car,7365000,"Kurunegala | 92,500 km",2018
Micro Panda Car,3275000,"Horana | 89,600 km",2015
Nissan March AK12 Car,4290000,"Homagama | 160,000 km",2007
Toyota Premio Car,16800000,"Nuwara-Eliya | 130,000 km",2017
Toyota Axio Car,10800000,"Dompe | 97,000 km",2016
BMW 318i M Sport Aus Spec Car,21200000,"Malabe | 32,000 km",2018
Toyota Avanza Car,8350000,"Kandy | 125,579 km",2013
Toyota Vitz Car,7375000,"Kandana | 120,000 km",2016
Micro Panda Car,3025000,"Horana | 63,400 km",2014
Suzuki Maruti Car,2025000,"Chilaw | 63,500 km",2005
Daihatsu Charade Car,955000,"Gampaha | 125,413 km",1985
Micro Panda LC 1.0 Car,3535000,"Moratuwa | 45,000 km",2016
Micro Panda Car,2575000,"Panadura | 98,000 km",2011
Toyota Vitz Edition 2 Car,8695000,"Colombo | 55,000 km",2018
Nissan Bluebird Sylphy FG10 FB15 Car,4990000,"Bandaragama | 181,400 km",2003
Zotye Z100 Car,4095000,Panadura | 123 km,2025
Toyota ALLION 260 Car,10250000,"Colombo | 138,500 km",2013
Perodua Viva Elite Car,4575000,"Mirigama | 127,000 km",2013
Perodua Kelisa Car,3375000,"Horana | 78,000 km",2005
Suzuki Alto 800 Car,4130000,"Kurunegala | 129,000 km",2015
Suzuki Wagon R FX Car,6525000,"Maharagama | 107,000 km",2017
Honda FIT GP1 Car,6750000,"Colombo | 147,000 km",2013
Toyota Aqua S Grade Car,8590000,"Piliyandala | 152,000 km",2015
Suzuki Wagon R FX Car,7490000,"Colombo | 19,000 km",2023
Nissan N16 Sunny Super Saloon Car,4275000,"Kurunegala | 230,000 km",2004
Toyota Belta Car,6300000,"Matara | 139,000 km",2008
Suzuki Wagon R FXS Car,8350000,"Kadawatha | 6,000 km",2024
Nissan HB11 Car,675000,"Polgahawela | 1,000,000 km",1986
Honda Grace Car,9200000,"Colombo | 149,999 km",2015
Suzuki Alto Car,3350000,"Kurunegala | 95,000 km",2009
Suzuki Swift Car,5390000,"Kurunegala | 132,500 km",2009
Suzuki Wagon R FX Car,6250000,"Pannipitiya | 82,000 km",2017
Mercedes-Benz C180 Car,7300000,"Gampaha | 200,000 km",2005
Toyota Aqua Car,8100000,"Galle | 145,000 km",2013
Kia Rio Car,8950000,"Kiribathgoda | 120,000 km",2015
Toyota Cynos Car,3490000,"Nugegoda | 146,000 km",1993
Daihatsu Charade Car,1750000,"Embilipitiya | 95,000 km",1997
Suzuki Swift Car,3975000,"Moneragala | 139,000 km",2003
